Id,Occurrences
Amar Gambit,1
Amar: Paris Gambit,1
Hungarian,14
Hungarian: Catalan Formation,2
Hungarian: Dutch,1
Hungarian: Indian,3
Hungarian: Sicilian Invitation,1
Mieses,4
Mieses: Reversed Rat,1
Polish,1
Saragossa,6
Van Geet,7
Van't Kruijs,2
Ware,1
Nimzo-Larsen Attack,13
Nimzo-Larsen Attack: Classical,7
Nimzo-Larsen Attack: Indian,2
Nimzo-Larsen Attack: Modern,6
Nimzo-Larsen Attack: Symmetrical,1
Bird,7
Bird: From's Gambit,1
"Bird: From's Gambit, Lasker",1
Bird: Dutch,3
Zukertort,91
Zukertort: Arctic,1
Zukertort: Basman,1
Zukertort: Dutch,3
Zukertort: Kingside Fianchetto,4
Zukertort: Pirc Invitation,5
Zukertort: QG Invitation,1
Zukertort: Queenside Fianchetto,3
Zukertort: Sicilian Invitation,8
Zukertort: Slav Invitation,2
KIA,18
KIA: Symmetrical,3
KIA: Wahls,2
Zukertort: Nimzo-Larsen,2
Zukertort: Quiet System,1
Zukertort: Old Indian Attack,1
Zukertort: Tennison Gambit,2
KIA: Double Fianchetto,1
KIA: Keres,3
KIA: Sicilian,4
KIA: Yugoslav,1
KIA: French,2
Réti,8
Réti: Advance,4
English,88
English: Anglo-Dutch,1
English: Anglo-Lithuanian,2
English: Great Snake,6
English: Caro-Kann Defensive System,8
English: Agincourt,16
"English: Agincourt, Catalan Accepted",3
English: Neo-Catalan,4
English: Neo-Catalan Declined,5
"English: Agincourt, Keres",1
"English: Agincourt, Neo-Catalan Declined",5
English: Anglo-Indian,23
"English: Anglo-Indian, Anti-Anti-Grünfeld",1
"English: Anglo-Indian, King's Indian Formation",3
"English: Anglo-Indian, King's Knight",13
"English: Anglo-Indian, Queen's Indian Formation",1
"English: Anglo-Indian, Queen's Knight",10
"English: Anglo-Indian, Hedgehog System",3
English: King's English,24
"English: King's English, Nimzowitsch",5
"English: King's English, Nimzowitsch-Flohr",3
"English: King's English, Kramnik-Shirov Counterattack",3
"English: King's English, Reversed Sicilian",8
English: Carls-Bremen System,1
"English: King's English, Two Knights",5
"English: King's English, Two Knights, Smyslov System",1
"English: King's English, Reversed Closed Sicilian",2
"English: King's English, Taimanov",1
"English: King's English, Three Knights System",3
"English: King's English, Four Knights",4
"English: King's English, Four Knights, Flexible Line",1
"English: King's English, Four Knights, Quiet Line",1
"English: King's English, Four Knights, Fianchetto Line",1
English: Symmetrical,9
"English: Symmetrical, Anti-Benoni",6
"English: Symmetrical, Anti-Benoni, Spielmann",1
"English: Symmetrical, Three Knights",1
"English: Symmetrical, Symmetrical",1
"English: Symmetrical, Duchamp",1
Englund Gambit,4
Englund Gambit Complex: Felbecker Gambit,1
Englund Gambit Complex: Soller Gambit Deferred,3
Horwitz,9
Mikenas,2
Modern,22
Queen's Pawn,365
Queen's Pawn: Anglo-Slav,2
Old Indian,5
Robatsch,1
Wade,1
Modern: Averbakh System,5
Modern: Kotov,1
Benoni: Benoni-Indian,4
"Benoni: Benoni-Indian, Kingside Move Order",2
Benoni: Old Benoni,9
Indian: Pseudo-Benko,1
Benoni: Semi-Benoni,1
Indian,176
Indian: Reversed Chigorin,1
Indian: Tartakower Attack,1
Queen's Pawn: Chigorin,13
Trompowsky Attack,14
Trompowsky Attack: Classical,4
"Trompowsky Attack: Classical, Big Center",3
Trompowsky Attack: Raptor,1
Indian: Knights,43
Indian: London System,4
Indian: Spielmann-Indian,2
Indian: Wade-Tartakower,3
Old Indian: Czech,1
Torre Attack,5
Yusupov-Rubinstein System,1
Queen's Indian,6
East Indian,14
"Queen's Pawn: Torre Attack, Grünfeld, Main Line",2
Indian: Przepiorka,5
Indian: Normal,102
Mexican,1
Slav Indian,1
Indian: Budapest,1
"Indian: Budapest, Rubinstein",1
Old Indian: Tartakower-Indian,1
Benoni,27
Benoni: Hromádka System,1
