Id,0
Hungarian Opening,1
Hungarian Opening: Indian Defense,1
Mieses Opening,1
Mieses Opening: Reversed Rat,0
Van Geet Opening,1
Van't Kruijs Opening,0
Nimzo-Larsen Attack,1
Nimzo-Larsen Attack: Indian Variation,0
Zukertort Opening,7
Zukertort Opening: Sicilian Invitation,2
King's Indian Attack,0
King's Indian Attack: French Variation,0
Réti Opening,0
English Opening,6
English Opening: Caro-Kann Defensive System,0
English Opening: Agincourt Defense,1
English Opening: Neo-Catalan,1
English Opening: Neo-Catalan Declined,1
"English Opening: Agincourt Defense, Neo-Catalan Declined",0
English Opening: Anglo-Indian Defense,2
"English Opening: Anglo-Indian Defense, King's Knight Variation",1
"English Opening: Anglo-Indian Defense, Queen's Knight Variation",2
"English Opening: Anglo-Indian Defense, Hedgehog System",1
English Opening: Symmetrical Variation,2
"English Opening: Symmetrical Variation, Anti-Benoni Variation",0
"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",0
Englund Gambit,2
Englund Gambit Complex: Soller Gambit Deferred,0
Horwitz Defense,0
Modern Defense,2
Queen's Pawn Game,45
Modern Defense: Averbakh System,1
"Benoni Defense: Benoni-Indian Defense, Kingside Move Order",1
Indian Defense: Pseudo-Benko,0
Indian Defense,20
Queen's Pawn Game: Chigorin Variation,3
Trompowsky Attack,1
Trompowsky Attack: Classical Defense,0
Indian Defense: Knights Variation,6
Indian Defense: Spielmann-Indian,1
Indian Defense: Wade-Tartakower Defense,1
Yusupov-Rubinstein System,1
Queen's Indian Defense,1
Indian Defense: Normal Variation,10
Slav Indian,0
Old Indian Defense: Tartakower-Indian,0
Benoni Defense,2
Benko Gambit,1
Benko Gambit Accepted,1
Benko Gambit Accepted: Modern Variation,0
Dutch Defense,0
King's Pawn,34
Nimzowitsch Defense,1
Nimzowitsch Defense: Scandinavian Variation,1
"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",0
Pirc Defense,1
Scandinavian Defense,1
Scandinavian Defense: Classical Variation,0
Scandinavian Defense: Main Line,1
"Scandinavian Defense: Main Line, Mieses Variation",1
Scandinavian Defense: Mieses-Kotroc Variation,1
Alekhine Defense,1
Alekhine Defense: Normal Variation,1
Alekhine Defense: Two Pawn Attack,1
Alekhine Defense: Exchange Variation,0
"Modern Defense: Lizard Defense, Mittenberger Gambit",0
Modern Defense: Standard Line,1
Pirc Defense: Byrne Variation,0
Caro-Kann Defense,4
Caro-Kann Defense: Advance Variation,1
"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",0
Caro-Kann Defense: Modern Variation,1
Caro-Kann Defense: Exchange Variation,1
"Caro-Kann Defense: Exchange Variation, Rubinstein Variation",0
Caro-Kann Defense: Main Line,2
Caro-Kann Defense: Tartakower Variation,0
Caro-Kann Defense: Classical Variation,1
"Caro-Kann Defense: Classical Variation, Spassky Variation",0
Sicilian Defense,16
Sicilian Defense: Smith-Morra Gambit,1
"Sicilian Defense: Smith-Morra Gambit Declined, Alapin Formation",1
"Sicilian Defense: Alapin Variation, Smith-Morra Declined",0
Sicilian Defense: Closed,0
Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0
Sicilian Defense: Old Sicilian,2
Sicilian Defense: French Variation,2
"Sicilian Defense: French Variation, Open",2
Sicilian Defense: Kan Variation,2
"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",0
"Sicilian Defense: Kan Variation, Knight Variation",0
Sicilian Defense: Modern Variations,5
Sicilian Defense: Moscow Variation,0
"Sicilian Defense: Modern Variations, Main Line",4
Sicilian Defense: Venice Attack,0
Sicilian Defense: Dragon Variation,1
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations",1
"Sicilian Defense: Dragon Variation, Yugoslav Attack",1
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Panov Variation",0
"Sicilian Defense: Scheveningen Variation, Classical Variation",0
Sicilian Defense: Najdorf Variation,1
"Sicilian Defense: Najdorf Variation, Opocensky Variation",1
French Defense,8
French Defense: Normal Variation,4
French Defense: Advance Variation,1
"French Defense: Advance Variation, Milner-Barry Gambit",0
French Defense: Tarrasch Variation,2
